"article_id","product_code","name","product_type_no","product_type_name","category","graphical_appearance_no","graphical_appearance_name","colour_group_code","colour_group_name","perceived_colour_value_id","perceived_colour_value_name","perceived_colour_master_id","perceived_colour_master_name","department_no","department_name","index_code","index_name","index_group_no","index_group_name","section_no","section_name","garment_group_no","garment_group_name","description","price"
547522002,547522,"Angelina Skirt",275,"Skirt","Garment Lower body",1010016,"Solid",93,"Dark Green",7,"Medium",19,"Green",1948,"Trousers & Skirt","A","Ladieswear",1,"Ladieswear",18,"Womens Trend",1009,"Trousers","Calf-length, pleated wrapover skirt in airy, crinkled fabric with a concealed button at the waist. Twill waistband with a satin trim and satin-covered buckle at the side. Lined.",63.88
710091001,710091,"Chelton BIB",267,"Jumpsuit/Playsuit","Garment Full body",1010023,"Denim",71,"Light Blue",1,"Dusty Light",2,"Blue",6565,"Baby Boy Woven","G","Baby Sizes 50-98",4,"Baby/Children",41,"Baby Boy",1006,"Woven/Jersey/Knitted mix Baby","Dungarees in soft, stretch denim with a pocket at the top, press-studs at the sides and adjustable straps with press-stud fasteners. Concealed press-studs at the crotch (not in sizes 1-4Y). Seam with belt loops at the waist, a fake fly, fake front pockets and real back pockets.",24.04
478426004,478426,"Cheryl loose tank (1)",253,"Vest top","Garment Upper body",1010016,"Solid",1,"Other",6,"Undefined",14,"undefined",1643,"Basic 1","D","Divided",2,"Divided",51,"Divided Basics",1002,"Jersey Basic","Wide jersey vest top with a rounded hem.",7
469562048,469562,"Skinny denim (1)",272,"Trousers","Garment Lower body",1010023,"Denim",73,"Dark Blue",2,"Medium Dusty",2,"Blue",2031,"Woven bottoms","A","Ladieswear",1,"Ladieswear",8,"Mama",1009,"Trousers","Jeans in washed, stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for best fit over the tummy.",24.04
552501001,552501,"Cool Bette Stud pack",70,"Earring","Accessories",1010016,"Solid",5,"Gold",5,"Bright",15,"Metal",4344,"Jewellery","C","Ladies Accessories",1,"Ladieswear",66,"Womens Small accessories",1019,"Accessories","Metal stud earrings in different colours.",15.23
623784002,623784,"BB 2-pack T-shirts",255,"T-shirt","Garment Upper body",1010014,"Placement print",20,"Other Yellow",5,"Bright",8,"Yellow",6283,"Tops Boys","S","Sport",26,"Sport",49,"Kids Sports",1001,"Unknown","Short-sleeved sports tops in fast-drying functional fabric.",11
628737003,628737,"AK Biggie blouse",258,"Blouse","Garment Upper body",1010001,"All over pattern",9,"Black",4,"Dark",5,"Black",4030,"AK Other","D","Divided",2,"Divided",70,"Divided Asia keys",1023,"Special Offers","Straight, wide shirt in a patterned organic cotton weave with a resort collar, chest pocket and buttons down the front. Dropped shoulders and short sleeves.",87.96
747198002,747198,"Goji dress w",265,"Dress","Garment Full body",1010001,"All over pattern",9,"Black",4,"Dark",5,"Black",1344,"Dresses","D","Divided",2,"Divided",53,"Divided Collection",1013,"Dresses Ladies","Short dress in a patterned viscose weave with narrow, adjustable straps, a wrapover front with ties at one side and a flounced hem. Unlined.",64.1
796003001,796003,"Peony Jumper",252,"Sweater","Garment Upper body",1010016,"Solid",10,"White",3,"Light",9,"White",1644,"Projects Jersey & Knitwear","D","Divided",2,"Divided",50,"Divided Projects",1005,"Jersey Fancy","Slightly shorter jumper in a soft, fluffy knit with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem.",73.73
455925002,455925,"Yates LS tee",254,"Top","Garment Upper body",1010014,"Placement print",73,"Dark Blue",4,"Dark",2,"Blue",8559,"Men Sport Woven","S","Sport",26,"Sport",22,"Men H&M Sport",1005,"Jersey Fancy","Sports top in breathable, functional fabric with a small stand-up collar and long sleeves. The polyester content of the top is recycled.",11.85
772349014,772349,"Glamping.(1)",274,"Shorts","Garment Lower body",1010016,"Solid",17,"Yellowish Brown",4,"Dark",13,"Brown",1676,"Jersey Basic","A","Ladieswear",1,"Ladieswear",16,"Womens Everyday Basics",1002,"Jersey Basic","Short shorts in lightweight sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems.",97.29
872850001,872850,"Pete crew 2-p",252,"Sweater","Garment Upper body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",8758,"Young Boy Knitwear","I","Children Sizes 134-170",4,"Baby/Children",47,"Young Boy",1003,"Knitwear","Jumpers in fine-knit cotton with gently dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem.",15
859952002,859952,"LE Bosch Dress",265,"Dress","Garment Full body",1010001,"All over pattern",83,"Dark Turquoise",7,"Medium",19,"Green",3000,"Limited Edition","A","Ladieswear",1,"Ladieswear",82,"Special Collections",1023,"Special Offers","Wide, straight-cut, calf-length dress in soft, gently draping satin with a sheen. V-neck and a yoke on the shoulders and at the back. Long, gathered, voluminous balloon sleeves with a seam at the top and close-fitting cuffs with a covered button. Short slits in the sides.",84.92
764084009,764084,"Bonnie",252,"Sweater","Garment Upper body",1010017,"Stripe",9,"Black",4,"Dark",5,"Black",1616,"Knitwear","A","Ladieswear",1,"Ladieswear",11,"Womens Tailoring",1003,"Knitwear","Jumper in a soft, fine-knit viscose blend with buttons on one shoulder, 3/4-length sleeves and roll edges around the neckline, cuffs and hem.",30.2
789304005,789304,"Snake",258,"Blouse","Garment Upper body",1010016,"Solid",22,"Yellow",7,"Medium",8,"Yellow",1522,"Blouse","A","Ladieswear",1,"Ladieswear",15,"Womens Everyday Collection",1010,"Blouses","Long blouse in a softly draping weave with a sheen. Collar, concealed buttons down the front and a detachable tie belt at the waist. Yoke with a pleat at the back, long sleeves with buttoned cuffs, and a rounded hem. Slightly longer at the back. Unlined.",60
763862002,763862,"HOPE top",306,"Bra","Underwear",1010001,"All over pattern",13,"Beige",2,"Medium Dusty",11,"Beige",3937,"UW","D","Divided",2,"Divided",51,"Divided Basics",1017,"Under-, Nightwear","Bra top in soft jersey made from a cotton blend with a racer back and elasticated hem.",26.51
708739002,708739,"MAMA ORLANDO 2LAYER TEE",255,"T-shirt","Garment Upper body",1010016,"Solid",61,"Light Purple",1,"Dusty Light",9,"White",2032,"Jersey","A","Ladieswear",1,"Ladieswear",8,"Mama",1005,"Jersey Fancy","Sports top in soft, fast-drying, functional fabric with short cap sleeves and a longer inner top with a racer back.",37.38
624253001,624253,"NISSI tee shirt",255,"T-shirt","Garment Upper body",1010016,"Solid",50,"Other Pink",5,"Bright",4,"Pink",8316,"Ladies Sport Bras","S","Sport",26,"Sport",5,"Ladies H&M Sport",1005,"Jersey Fancy","Wide sports top in fast-drying slub jersey made from a viscose and modal blend with low dropped shoulders and short sleeves. Lorem ipsum dolor sit amet consectetur adipiscing elit libero volutpat torquent risus, mauris et interdum congue ante conubia cum egestas sociosqu pretium ultricies in, class non metus sapien bibendum platea orci nisi maecenas magna. Class turpis auctor iaculis conubia vivamus odio, habitant tristique et facilisis sollicitudin blandit morbi, metus aliquam sodales cum nostra. Risus euismod fusce nostra ac venenatis varius augue nec dis tempor, massa in lectus ultrices platea aptent per lobortis curabitur metus nisi, dapibus a suspendisse viverra porttitor nisl felis non purus.",57.23
721390012,721390,"Jonas Slim 5-pkt Trs",272,"Trousers","Garment Lower body",1010016,"Solid",6,"Light Grey",1,"Dusty Light",12,"Grey",5686,"Trouser","F","Menswear",3,"Menswear",20,"Contemporary Smart",1009,"Trousers","5-pocket trousers in washed stretch twill with a regular waist and zip fly. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look.",48.88
650800002,650800,"S.U Lucille Skirt",275,"Skirt","Garment Lower body",1010016,"Solid",73,"Dark Blue",4,"Dark",2,"Blue",7814,"Girls Local Relevance","H","Children Sizes 92-140",4,"Baby/Children",48,"Kids Local Relevance",1023,"Special Offers","Pleated skirt woven in a sturdy viscose blend with an adjustable, elasticated waist (in sizes 2-10Y) and a concealed zip at the back. Lined.",36.21
788489003,788489,"Bari",252,"Sweater","Garment Upper body",1010010,"Melange",19,"Greenish Khaki",2,"Medium Dusty",20,"Khaki green",2034,"Knitwear","A","Ladieswear",1,"Ladieswear",8,"Mama",1003,"Knitwear","Longer, wide-fitting jumper in a soft knit containing some wool with long sleeves and wide ribbing around the neckline, cuffs and hem.",65.07
297067002,297067,"Small dot 1p Tights",273,"Leggings/Tights","Garment Lower body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",3608,"Tights basic","B","Lingeries/Tights",1,"Ladieswear",62,"Womens Nightwear, Socks & Tigh",1021,"Socks and Tights","Flock-print tights with an elasticated waist.",22.55
849738003,849738,"Mimosa C&S Padded",306,"Bra","Underwear",1010016,"Solid",51,"Light Pink",1,"Dusty Light",4,"Pink",1334,"Casual Lingerie","B","Lingeries/Tights",1,"Ladieswear",61,"Womens Lingerie",1017,"Under-, Nightwear","Lace bra with underwired, padded cups that shape the bust and provide good support. Adjustable shoulder straps and a hook-and-eye fastening at the back.",36.29
591385001,591385,"Lilou sweater",258,"Blouse","Garment Upper body",1010002,"Application/3D",7,"Grey",1,"Dusty Light",12,"Grey",7616,"Kids Girl Jersey Fancy","H","Children Sizes 92-140",4,"Baby/Children",76,"Kids Girl",1005,"Jersey Fancy","Long-sleeved top in sweatshirt fabric with appliqués on the front, and ribbing around the neckline and cuffs. The sweatshirt is layered at the bottom over woven fabric with a rounded hem and decorative buttons.",42.97
884667001,884667,"MISCHA fancy 3-p",255,"T-shirt","Garment Upper body",1010012,"Mixed solid/pattern",51,"Light Pink",3,"Light",4,"Pink",7920,"Kids Girl Jersey Basic","H","Children Sizes 92-140",4,"Baby/Children",79,"Girls Underwear & Basics",1002,"Jersey Basic","Tops in soft, organic cotton jersey, one with an all-over print. Rounded and slightly longer at the back.",51.05
710469002,710469,"Mina knitted dress",265,"Dress","Garment Full body",1010016,"Solid",13,"Beige",2,"Medium Dusty",11,"Beige",1648,"Knitwear","A","Ladieswear",1,"Ladieswear",18,"Womens Trend",1003,"Knitwear","Calf-length, sleeveless dress in a rib knit with a V-neck at the front, deep V-neck at the back and gently flared skirt.",80.67
680549001,680549,"Cappucino waspie",289,"Nipple covers","Underwear",1010021,"Lace",9,"Black",4,"Dark",5,"Black",1338,"Expressive Lingerie","B","Lingeries/Tights",1,"Ladieswear",61,"Womens Lingerie",1017,"Under-, Nightwear","Waspie in lace and mesh with support panels at the front and a hook-and-eye fastening.",27.97
622240001,622240,"Stork SS",255,"T-shirt","Garment Upper body",1010016,"Solid",73,"Dark Blue",2,"Medium Dusty",2,"Blue",1640,"Tops Fancy Jersey","D","Divided",2,"Divided",53,"Divided Collection",1005,"Jersey Fancy","Off-the-shoulder top in stretch viscose jersey with wide smocking at the top and short sleeves.",56.28
650699001,650699,"Shakespeare",275,"Skirt","Garment Lower body",1010001,"All over pattern",72,"Blue",2,"Medium Dusty",2,"Blue",1422,"Skirt","A","Ladieswear",1,"Ladieswear",15,"Womens Everyday Collection",1012,"Skirts","Short skirt in a crinkled, patterned weave with a concealed zip and button at one side, a seam at the top and gentle flare to the hem. Lined.",63.32
588672002,588672,"Cornish",272,"Trousers","Garment Lower body",1010016,"Solid",51,"Light Pink",1,"Dusty Light",4,"Pink",1717,"Trouser","A","Ladieswear",1,"Ladieswear",11,"Womens Tailoring",1009,"Trousers","Ankle-length trousers in woven fabric with a concealed zip in the side, fake back pockets and straight, wide legs with creases.",14.18
888254001,888254,"Co-lab EJ A-band knot",74,"Hair/alice band","Accessories",1010016,"Solid",81,"Light Turquoise",3,"Light",7,"Turquoise",4313,"Girls Small Acc/Bags","J","Children Accessories, Swimwear",4,"Baby/Children",43,"Kids Accessories, Swimwear & D",1019,"Accessories","EMMA JAYNE x H&M. Alice band covered in a patterned weave with a decorative knot detail at the top.",64.68
679067007,679067,"UNI YES hood",308,"Hoodie","Garment Upper body",1010010,"Melange",6,"Light Grey",1,"Dusty Light",12,"Grey",7920,"Kids Girl Jersey Basic","H","Children Sizes 92-140",4,"Baby/Children",79,"Girls Underwear & Basics",1002,"Jersey Basic","Top in sweatshirt fabric made from an organic cotton blend with a jersey-lined hood, zip down the front, front pockets and ribbing at the cuffs and hem. Soft brushed inside.",25.35
557983002,557983,"Csp Bug Sweater",252,"Sweater","Garment Upper body",1010022,"Jacquard",9,"Black",4,"Dark",5,"Black",1636,"Jersey fancy","A","Ladieswear",1,"Ladieswear",15,"Womens Everyday Collection",1005,"Jersey Fancy","Long-sleeved top in jacquard-patterned jersey containing glittery threads with a beaded appliqué on the chest. Contrasting colour ribbing around the neckline, cuffs and hem.",15.85
551910004,551910,"TD check big Gingham/OPEN",259,"Shirt","Garment Upper body",1010004,"Check",9,"Black",4,"Dark",5,"Black",5731,"Shirt","F","Menswear",3,"Menswear",23,"Men Suits & Tailoring",1011,"Shirts","Checked shirt in a woven cotton blend with a turn-down collar and French front. Long sleeves with adjustable buttoning at the cuffs, a yoke at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist for a fitted silhouette.",95.4
695326005,695326,"RESULT LS DENIM SHIRT",259,"Shirt","Garment Upper body",1010023,"Denim",9,"Black",4,"Dark",5,"Black",5777,"Shirt","F","Menswear",3,"Menswear",20,"Contemporary Smart",1011,"Shirts","Shirt in cotton denim with a button-down collar, classic front and yoke at the back. Open chest pocket, long sleeves with adjustable buttoning at the cuffs, and a rounded hem.",96.91
554541047,554541,"SKINNY SS 89",272,"Trousers","Garment Lower body",1010023,"Denim",6,"Light Grey",1,"Dusty Light",12,"Grey",8956,"Young Boy Denim","I","Children Sizes 134-170",4,"Baby/Children",47,"Young Boy",1016,"Trousers Denim","5-pocket slim-fit jeans in washed, superstretch, flexible denim for maximum mobility with an adjustable, elasticated waist, zip fly and narrow hems.",82.76
615793001,615793,"DENIM Vintage HW Deco",272,"Trousers","Garment Lower body",1010023,"Denim",73,"Dark Blue",2,"Medium Dusty",2,"Blue",1939,"Woven bottoms","A","Ladieswear",1,"Ladieswear",2,"H&M+",1009,"Trousers","5-pocket, high-waisted jeans in washed denim with sparkly stones at the front, low crotch, button fly and straight legs.",37.42
682136003,682136,"ELENA plastic bag",66,"Bag","Accessories",1010016,"Solid",50,"Other Pink",5,"Bright",4,"Pink",4313,"Girls Small Acc/Bags","J","Children Accessories, Swimwear",4,"Baby/Children",43,"Kids Accessories, Swimwear & D",1019,"Accessories","Beach bag in plastic with a perforated pattern, two handles at the top and a glittery imitation leather charm. Size 10x18x26 cm.",18.79
818326002,818326,"Anton Long Johns 3-p",287,"Long John","Underwear",1010012,"Mixed solid/pattern",73,"Dark Blue",4,"Dark",2,"Blue",4215,"Kids Boy UW/NW","H","Children Sizes 92-140",4,"Baby/Children",72,"Boys Underwear & Basics",1017,"Under-, Nightwear","Longjohns in soft cotton jersey with an elasticated waist and ribbed hems.",29.11
643055002,643055,"Element Jumpsuit",267,"Jumpsuit/Playsuit","Garment Full body",1010016,"Solid",11,"Off White",1,"Dusty Light",9,"White",1926,"Woven Occasion","A","Ladieswear",1,"Ladieswear",14,"Womens Premium",1013,"Dresses Ladies","Off-the-shoulder jumpsuit in a sturdy weave with a silicone trim at the top, side support and a concealed zip at the back. Seam at the waist and wide, straight legs with creases.",49.61
498741005,498741,"MOLLY HOODIE",254,"Top","Garment Upper body",1010010,"Melange",50,"Other Pink",5,"Bright",4,"Pink",6280,"Tops Girls","S","Sport",26,"Sport",49,"Kids Sports",1001,"Unknown","Sports jacket in fast-drying functional fabric with a hood, zip down the front and front pockets.",20.98
834365001,834365,"#NAME?",253,"Vest top","Garment Upper body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",1919,"Jersey","A","Ladieswear",1,"Ladieswear",2,"H&M+",1005,"Jersey Fancy","Sports vest top in soft, fast-drying functional fabric with a racer back and a shorter top in airy fabric layered over the top.",26.36
727642002,727642,"Almost famous romper",272,"Trousers","Garment Lower body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",1710,"Trouser","A","Ladieswear",1,"Ladieswear",6,"Womens Casual",1009,"Trousers","Off-the-shoulder playsuit in woven fabric with elastication around the top and short sleeves with ties. Elasticated seam at the waist and side pockets.",13.09
760020005,760020,"FREJA dress",265,"Dress","Garment Full body",1010016,"Solid",73,"Dark Blue",2,"Medium Dusty",2,"Blue",6557,"Baby Exclusive","G","Baby Sizes 50-98",4,"Baby/Children",44,"Baby Essentials & Complements",1006,"Woven/Jersey/Knitted mix Baby","Baby Exclusive. Sleeveless dress in an organic cotton weave with buttons down the front and flared hem. Lined at the top.",91.84
569974024,569974,"DONT USE ROLAND HOOD",308,"Hoodie","Garment Upper body",1010010,"Melange",9,"Black",4,"Dark",12,"Grey",5868,"Basics","F","Menswear",3,"Menswear",26,"Men Underwear",1002,"Jersey Basic","Top in sweatshirt fabric with a lined drawstring hood, kangaroo pocket, long raglan sleeves and ribbing at the cuffs and hem.",33.29
694986001,694986,"Freddy Fur Coat",262,"Jacket","Garment Upper body",1010016,"Solid",17,"Yellowish Brown",2,"Medium Dusty",13,"Brown",1201,"Outwear","A","Ladieswear",1,"Ladieswear",19,"Womens Jackets",1007,"Outdoor","Coat in soft faux fur with notch lapels, a concealed fastening with two press-studs at the front and concealed pockets in the side seams. Lined.",69.63
540277003,540277,"Kylie Shorts",296,"Pyjama bottom","Nightwear",1010001,"All over pattern",71,"Light Blue",3,"Light",2,"Blue",3709,"Nightwear","B","Lingeries/Tights",1,"Ladieswear",62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Short shorts in soft jersey with an elasticated drawstring waist.",38.05
767423013,767423,"Kady Mock Neck Sweater TVP",252,"Sweater","Garment Upper body",1010016,"Solid",73,"Dark Blue",5,"Bright",2,"Blue",1647,"Tops Knitwear","D","Divided",2,"Divided",53,"Divided Collection",1003,"Knitwear","Jumper in a soft knit with a turtle neck and long raglan sleeves.",56.81
808569001,808569,"Energy fitted tank top",253,"Vest top","Garment Upper body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",8316,"Ladies Sport Bras","S","Sport",26,"Sport",5,"Ladies H&M Sport",1005,"Jersey Fancy","Fitted sports vest top in fast-drying jersey with a racer back.",26.64
657476005,657476,"London 9.99",255,"T-shirt","Garment Upper body",1010014,"Placement print",6,"Light Grey",1,"Dusty Light",12,"Grey",1640,"Tops Fancy Jersey","D","Divided",2,"Divided",53,"Divided Collection",1005,"Jersey Fancy","T-shirt in soft cotton jersey.",59.2
804560002,804560,"PQ COBY HEADBAND",75,"Hat/beanie","Accessories",1010010,"Melange",14,"Dark Beige",4,"Dark",11,"Beige",1612,"Jersey/Knitwear Premium","A","Ladieswear",1,"Ladieswear",14,"Womens Premium",1003,"Knitwear","Wide headband in soft, rib-knit cashmere with a decorative knot at the front.",97.26
688868006,688868,"SB 2-pack Aston shorts",59,"Swimwear bottom","Swimwear",1010001,"All over pattern",73,"Dark Blue",5,"Bright",2,"Blue",4210,"Kids Boy Swimwear","J","Children Accessories, Swimwear",4,"Baby/Children",43,"Kids Accessories, Swimwear & D",1018,"Swimwear","Short swim shorts with an elasticated drawstring waist and a fake fly. Soft mesh inner shorts.",79.76
782562002,782562,"Stark Fur Coat",262,"Jacket","Garment Upper body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",1244,"Outdoor/Blazers","D","Divided",2,"Divided",53,"Divided Collection",1007,"Outdoor","Double-breasted jacket in soft faux fur with notch lapels, dropped shoulders and side pockets. Lined.",94.55
611730014,611730,"Jefferson Slim Shorts",274,"Shorts","Garment Lower body",1010004,"Check",6,"Light Grey",1,"Dusty Light",12,"Grey",5687,"Shorts","F","Menswear",3,"Menswear",20,"Contemporary Smart",1025,"Shorts","Chino shorts in woven fabric with a concealed hook-and-eye fastener, zip fly, side pockets and welt back pockets. Slim Fit that is close-fitting at the thighs to create a fitted silhouette.",90.53
853474005,853474,"Missy",265,"Dress","Garment Full body",1010001,"All over pattern",11,"Off White",1,"Dusty Light",9,"White",1322,"Dress","A","Ladieswear",1,"Ladieswear",15,"Womens Everyday Collection",1013,"Dresses Ladies","Voluminous, calf-length, off-the-shoulder dress in a cotton weave. Elastication and a flounced trim at the top, 3/4-length balloon sleeves with elastication at the cuffs, and a gathered seam and flounce at the hem for added width. Unlined.",63.81
529841001,529841,"Lauper Sweater",252,"Sweater","Garment Upper body",1010010,"Melange",7,"Grey",2,"Medium Dusty",12,"Grey",1647,"Tops Knitwear","D","Divided",2,"Divided",53,"Divided Collection",1003,"Knitwear","Jumper in a marled knit containing some wool with ribbed side sections, slits in the sides and wide ribbing at the cuffs and hem. Slightly longer at the back.",92.97
501620013,501620,"BORIS SS SHIRT",259,"Shirt","Garment Upper body",1010016,"Solid",10,"White",3,"Light",9,"White",5777,"Shirt","F","Menswear",3,"Menswear",20,"Contemporary Smart",1011,"Shirts","Short-sleeved shirt in a cotton weave with a turn-down collar and classic front. Yoke at the back, a chest pocket, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently shaped waist to create a comfortable, tailored silhouette.",17.96
824642002,824642,"HUGO TEE",255,"T-shirt","Garment Upper body",1010002,"Application/3D",12,"Light Beige",1,"Dusty Light",11,"Beige",6545,"Baby Boy Jersey Fancy","G","Baby Sizes 50-98",4,"Baby/Children",41,"Baby Boy",1005,"Jersey Fancy","T-shirt in soft cotton jersey with a press-stud on one shoulder (except in sizes 1½-4Y) and a print motif and appliqué on the front.",27.64
626441008,626441,"JLO LEGGINGS",273,"Leggings/Tights","Garment Lower body",1010002,"Application/3D",9,"Black",4,"Dark",5,"Black",8716,"Young Girl Jersey Fancy","I","Children Sizes 134-170",4,"Baby/Children",77,"Young Girl",1005,"Jersey Fancy","Leggings in a stretch cotton blend with an elasticated waist, fake front pockets and real back pockets.",14.07
895836003,895836,"Camilla HW chain Trs",272,"Trousers","Garment Lower body",1010016,"Solid",9,"Black",4,"Dark",5,"Black",1747,"Trousers","D","Divided",2,"Divided",53,"Divided Collection",1009,"Trousers","Cargo trousers in cotton twill with a metal key chain. High waist with elastication at the back, zip fly and button, front pockets, flap leg pockets and tapered legs with elasticated hems.",39.28
655791010,655791,"F",297,"Pyjama set","Nightwear",1010016,"Solid",43,"Dark Red",4,"Dark",18,"Red",9989,"Loungewear","F","Menswear",3,"Menswear",26,"Men Underwear",1017,"Under-, Nightwear","Pyjamas in a soft cotton blend. T-shirt top in jersey with a round neck. Piqué shorts with an elasticated drawstring waist and side pockets.",44.98
541286052,541286,"METS 2-p fancy shorttop",307,"Kids Underwear top","Underwear",1010012,"Mixed solid/pattern",93,"Dark Green",4,"Dark",19,"Green",7932,"Young Girl UW/NW","I","Children Sizes 134-170",4,"Baby/Children",79,"Girls Underwear & Basics",1017,"Under-, Nightwear","Tops in soft cotton jersey with a racer back and elastic hem.",34.42
557084001,557084,"HW Cheerleader top",254,"Top","Garment Upper body",1010014,"Placement print",9,"Black",4,"Dark",5,"Black",4090,"Promotion/ Other /Offer","D","Divided",2,"Divided",50,"Divided Projects",1023,"Special Offers","Short top in stretch jersey with a motif on the front, a small stand-up collar, concealed zip at the back and long sleeves.",42.11
695421002,695421,"Pelle shorts TP",274,"Shorts","Garment Lower body",1010016,"Solid",13,"Beige",2,"Medium Dusty",11,"Beige",8755,"Young Boy Shorts","I","Children Sizes 134-170",4,"Baby/Children",47,"Young Boy",1025,"Shorts","Shorts in soft cotton twill with an adjustable elasticated waist, zip fly and button, side pockets and a fake jetted back pocket with a button.",35.28
